index,date,adj_closing_price,ticker
40384,2016-06-13,61.04,MAR
40385,2016-06-14,60.50,MAR
40386,2016-06-15,60.81,MAR
40387,2016-06-16,60.69,MAR
40388,2016-06-17,61.51,MAR
40389,2016-06-20,62.78,MAR
40390,2016-06-21,62.66,MAR
40391,2016-06-22,62.69,MAR
40392,2016-06-23,63.80,MAR
40393,2016-06-24,59.14,MAR
40394,2016-06-27,56.64,MAR
40395,2016-06-28,57.92,MAR
40396,2016-06-29,60.06,MAR
40397,2016-06-30,61.50,MAR
40398,2016-07-01,62.73,MAR
40399,2016-07-05,62.08,MAR
40400,2016-07-06,62.79,MAR
40401,2016-07-07,63.26,MAR
40402,2016-07-08,64.64,MAR
40403,2016-07-11,64.89,MAR
40404,2016-07-12,65.94,MAR
40405,2016-07-13,64.89,MAR
40406,2016-07-14,65.19,MAR
40407,2016-07-15,64.96,MAR
40408,2016-07-18,65.14,MAR
40409,2016-07-19,64.91,MAR
40410,2016-07-20,64.65,MAR
40411,2016-07-21,65.13,MAR
40412,2016-07-22,65.69,MAR
40413,2016-07-25,65.89,MAR
40414,2016-07-26,66.32,MAR
40415,2016-07-27,65.27,MAR
40416,2016-07-28,66.19,MAR
40417,2016-07-29,66.35,MAR
40418,2016-08-01,65.88,MAR
40419,2016-08-02,65.32,MAR
40420,2016-08-03,65.99,MAR
40421,2016-08-04,66.82,MAR
40422,2016-08-05,67.28,MAR
40423,2016-08-08,67.13,MAR
40424,2016-08-09,66.49,MAR
40425,2016-08-10,66.50,MAR
40426,2016-08-11,66.72,MAR
40427,2016-08-12,66.57,MAR
40428,2016-08-15,67.44,MAR
40429,2016-08-16,67.35,MAR
40430,2016-08-17,67.56,MAR
40431,2016-08-18,67.51,MAR
40432,2016-08-19,68.45,MAR
40433,2016-08-22,67.56,MAR
40434,2016-08-23,67.67,MAR
40435,2016-08-24,67.07,MAR
40436,2016-08-25,67.58,MAR
40437,2016-08-26,67.37,MAR
40438,2016-08-29,67.63,MAR
40439,2016-08-30,66.93,MAR
40440,2016-08-31,66.01,MAR
40441,2016-09-01,65.82,MAR
40442,2016-09-02,65.66,MAR
40443,2016-09-06,64.86,MAR
40444,2016-09-07,65.15,MAR
40445,2016-09-08,64.80,MAR
40446,2016-09-09,62.15,MAR
40447,2016-09-12,63.68,MAR
40448,2016-09-13,63.30,MAR
40449,2016-09-14,63.38,MAR
40450,2016-09-15,64.12,MAR
40451,2016-09-16,63.56,MAR
40452,2016-09-19,63.24,MAR
40453,2016-09-20,64.72,MAR
40454,2016-09-21,65.18,MAR
40455,2016-09-22,64.82,MAR
40456,2016-09-23,63.60,MAR
40457,2016-09-26,62.41,MAR
40458,2016-09-27,62.31,MAR
40459,2016-09-28,62.62,MAR
40460,2016-09-29,62.36,MAR
40461,2016-09-30,62.57,MAR
40462,2016-10-03,62.68,MAR
40463,2016-10-04,62.37,MAR
40464,2016-10-05,62.70,MAR
40465,2016-10-06,62.74,MAR
40466,2016-10-07,62.40,MAR
40467,2016-10-10,62.63,MAR
40468,2016-10-11,61.90,MAR
40469,2016-10-12,62.18,MAR
40470,2016-10-13,62.52,MAR
40471,2016-10-14,62.68,MAR
40472,2016-10-17,62.19,MAR
40473,2016-10-18,63.04,MAR
40474,2016-10-19,63.16,MAR
40475,2016-10-20,62.64,MAR
40476,2016-10-21,62.40,MAR
40477,2016-10-24,62.62,MAR
40478,2016-10-25,62.46,MAR
40479,2016-10-26,61.98,MAR
40480,2016-10-27,62.19,MAR
40481,2016-10-28,62.68,MAR
40482,2016-10-31,63.85,MAR
40483,2016-11-01,63.49,MAR
40484,2016-11-02,63.57,MAR
40485,2016-11-03,64.35,MAR
40486,2016-11-04,64.69,MAR
40487,2016-11-07,66.08,MAR
40488,2016-11-08,67.86,MAR
40489,2016-11-09,68.85,MAR
40490,2016-11-10,68.23,MAR
40491,2016-11-11,68.20,MAR
40492,2016-11-14,71.78,MAR
40493,2016-11-15,72.22,MAR
40494,2016-11-16,72.09,MAR
40495,2016-11-17,72.00,MAR
40496,2016-11-18,71.69,MAR
40497,2016-11-21,72.11,MAR
40498,2016-11-22,72.63,MAR
40499,2016-11-23,72.85,MAR
40500,2016-11-25,73.26,MAR
40501,2016-11-28,72.84,MAR
40502,2016-11-29,73.81,MAR
40503,2016-11-30,73.50,MAR
40504,2016-12-01,74.47,MAR
40505,2016-12-02,73.89,MAR
40506,2016-12-05,75.57,MAR
40507,2016-12-06,76.58,MAR
40508,2016-12-07,78.30,MAR
40509,2016-12-08,77.89,MAR
40510,2016-12-09,77.95,MAR
40511,2016-12-12,78.29,MAR
40512,2016-12-13,78.74,MAR
40513,2016-12-14,78.31,MAR
40514,2016-12-15,78.68,MAR
40515,2016-12-16,80.28,MAR
40516,2016-12-19,79.17,MAR
40517,2016-12-20,79.40,MAR
40518,2016-12-21,79.16,MAR
40519,2016-12-22,78.12,MAR
40520,2016-12-23,78.45,MAR
40521,2016-12-27,78.50,MAR
40522,2016-12-28,77.77,MAR
40523,2016-12-29,77.74,MAR
40524,2016-12-30,77.14,MAR
40525,2017-01-03,76.97,MAR
40526,2017-01-04,76.82,MAR
40527,2017-01-05,76.30,MAR
40528,2017-01-06,76.78,MAR
40529,2017-01-09,76.74,MAR
40530,2017-01-10,76.44,MAR
40531,2017-01-11,77.29,MAR
40532,2017-01-12,76.40,MAR
40533,2017-01-13,77.10,MAR
40534,2017-01-17,76.86,MAR
40535,2017-01-18,77.44,MAR
40536,2017-01-19,78.86,MAR
40537,2017-01-20,78.72,MAR
40538,2017-01-23,78.72,MAR
40539,2017-01-24,78.85,MAR
40540,2017-01-25,79.87,MAR
40541,2017-01-26,80.09,MAR
40542,2017-01-27,80.31,MAR
40543,2017-01-30,79.55,MAR
40544,2017-01-31,78.93,MAR
40545,2017-02-01,78.97,MAR
40546,2017-02-02,78.84,MAR
40547,2017-02-03,79.72,MAR
40548,2017-02-06,79.91,MAR
40549,2017-02-07,80.06,MAR
40550,2017-02-08,80.57,MAR
40551,2017-02-09,80.97,MAR
40552,2017-02-10,80.66,MAR
40553,2017-02-13,81.52,MAR
40554,2017-02-14,82.00,MAR
40555,2017-02-15,83.46,MAR
40556,2017-02-16,83.45,MAR
40557,2017-02-17,83.37,MAR
40558,2017-02-21,82.09,MAR
40559,2017-02-22,82.08,MAR
40560,2017-02-23,81.45,MAR
40561,2017-02-24,81.52,MAR
40562,2017-02-27,81.87,MAR
40563,2017-02-28,81.44,MAR
40564,2017-03-01,82.84,MAR
40565,2017-03-02,81.93,MAR
40566,2017-03-03,81.25,MAR
40567,2017-03-06,81.18,MAR
40568,2017-03-07,80.65,MAR
40569,2017-03-08,80.88,MAR
40570,2017-03-09,80.80,MAR
40571,2017-03-10,81.09,MAR
40572,2017-03-13,81.47,MAR
40573,2017-03-14,80.76,MAR
40574,2017-03-15,82.21,MAR
40575,2017-03-16,82.44,MAR
40576,2017-03-17,82.69,MAR
40577,2017-03-20,83.02,MAR
